General,English Translation,পদ (Google API),Updated Human,পদ (Human),Barishal_bangla_speech,Sylhet_bangla_speech,Chittagong_bangla_speech,Mymensingh_bangla_speech,Noakhali_bangla_speech
ছেলে,son,বিশেষ্য,বিশেষ্য,বিশেষ্য,পোলা,পুয়া,ফোয়া,ছেড়া,ছারি
ছেলে,son,বিশেষ্য,বিশেষ্য,বিশেষ্য,পোলা,ফুয়া ,ফোয়া,পুলা,হোলা
ছেলেই,son,বিশেষ্য,বিশেষ্য,বিশেষ্য,পোলাই,ফুয়াও,পোয়া,পোলাই,হোলা
ছেলেকে,the son,সর্বনাম,বিশেষ্য,বিশেষ্য,পোলারে,ফুয়ারে,ফোয়ারে,ছেড়াডারে,হোলাই
ছেলেটা,the boy,সর্বনাম,বিশেষ্য,বিশেষ্য,পোলাডা,ফুয়া ইগু,ফোয়াইবা,ছেড়াডা,হোলাগারে
ছেলেটাকে,the boy,সর্বনাম,বিশেষ্য,বিশেষ্য,পলাউগ্গারে,ফুয়াটারে,ফোয়াইবারে,ছেড়াটারে,হোলা ইয়া
ছেলেটার,the boy,সর্বনাম,বিশেষণ,বিশেষ্য,পোলাডার,ফুয়াগুতার,ফুয়াার,ছেড়াটার,পোলাগারে
ছেলেটি,the boy,সর্বনাম,বিশেষ্য,বিশেষ্য,পলাউগ্গা,ফুয়াটা,ফোয়াইবা,ছেড়াটা,হোলাগার
ছেলেটি,The boy,সর্বনাম,বিশেষ্য,বিশেষ্য,পোলাডা ,ফুয়াটা,ফোয়ায়ো,ছেড়াটি,হোলাগা
ছেলেটিকে,The boy,সর্বনাম,বিশেষ্য,বিশেষ্য,পলাউগ্গারে,ফুয়াটারে,ফোয়া,ছেড়াটারে,পোলাডা 
ছেলেটির,the boy's,সর্বনাম,বিশেষণ,বিশেষ্য,পোলাডার,ফুয়া ইগুর,ফোয়াইবার,ছেড়াডার,হোলাগারে
ছেলেদের,the boys,সর্বনাম,বিশেষণ,বিশেষ্য,পোলাগো,ফুয়াদের,ফোয়াওক্কল,ছেড়ারার,হোলা ইয়ার
ছেলেমেয়ে,children,বিশেষ্য,বিশেষ্য,বিশেষ্য,পোলাপাইন,ফুয়াফুরিন্তে,ফোয়ামাইয়া,ছেরা ছেরি,হোলার
ছেলেমেয়েকে,Children,বিশেষ্য,বিশেষ্য,বিশেষ্য, পোলামাইয়ারে  ,পুয়াপুরিরে,ফোয়া-মাইফারে,পোলা মাইয়াকে  ,ছেলেমেয়ে
ছেলের,son's,বিশেষ্য,বিশেষণ,বিশেষ্য,পোলার,ফুয়ার,ফোয়াইবারতুন,ছেড়ার,হোলা মাইয়ারে
ছেলেরা,the boys,সর্বনাম,বিশেষ্য,বিশেষ্য,পোলারা,ফুয়াইন্তে,ফোয়াওক্কল,ছেড়ারা,হোলার
ছেড়ে,leave,ক্রিয়া,ক্রিয়া,ক্রিয়া,হালাইয়া,ছাড়িয়া,চারি,ছাইরা,হোলারা
ছেড়ে,Leave,ক্রিয়া,ক্রিয়া,ক্রিয়া,ছাইড়া ,ছাড়ি,ছাড়ি,ছাইড়া,ছাড়ি
ছোট,small,বিশেষণ,বিশেষণ,বিশেষণ,ল্যাদা,ছোট,চোড,ছুডু,ছারি
ছোট,small,বিশেষণ,বিশেষণ,বিশেষণ,ছোডো,হুরূ ,গুরো,ছোড,ছোড
ছোটখাটো,minor,বিশেষ্য,বিশেষণ,বিশেষণ,ছোডোখাডো,ছোটমুটো,ছুডোছুডো,ছোটখাটো,ছোডো 
ছোটবেলা,childhood,বিশেষ্য,বিশেষ্য,বিশেষ্য,গেদাকাল,হুরু,গুরাহাল,ছোটবেলা,ছোডখাডো
ছোটবেলার,childhood,বিশেষ্য,বিশেষণ,বিশেষ্য,ছোটবেলার,হুরুকালর,গুরাহাল অর,ছোটবেলার,ছোডবেলার
ছোটবেলায়,in childhood,অব্যয়,অব্যয়,অব্যয়,ল্যাদাকালে,ছোটকাল,গুরাতাইক্তে,ছোটবেলায়,ছোটবেলার
ছোটরাও,Little ones too,বিশেষণ,বিশেষ্য,বিশেষ্য,ছোডোরাও,হুরু ইতায়ও,গুরাওক্কলও,ছোডরাও,ছোডবেলা
ছোটা,short,বিশেষণ,ক্রিয়া,ক্রিয়া,ছুটতাছে  ,ছোটা,ছোট,ছুডু,ছোডগুনেও
ছোটো,small,বিশেষণ,বিশেষণ,ক্রিয়া,ছোডো,ছুটো,গুরা,ছোট,ছোটা
ছোটো,Small,বিশেষ্য,বিশেষণ,বিশেষ্য,ছোডো ,হুরু,গুরো,ছোড,ছোট্ট
ছোটোবেলা,childhood,বিশেষ্য,বিশেষ্য,বিশেষ্য,ল্যাদাকাল,ছোট,গুরা লতি,ছোটোবেলা,ছোডো 
ছোট্ট,Little one,বিশেষণ,বিশেষণ,বিশেষণ,ছোডো,হুরু,গুরা,ছোট্ট,ছোডবেলা
ছড়িয়ে-ছিটিয়ে,Scattered,বিশেষণ,ক্রিয়া,বিশেষণ,বিকইরা থাহে  ,ছড়াইয়া-ছিটাইয়া,ছিটিয়ে ছিটিয়ে,ছরাইয়া-ছিটাইয়া ,ছোড
ছয়,six,বিশেষণ,বিশেষ্য,বিশেষণ,ছয়  ,ছক্কা, ছয়,ছয়,ছড়াই ছিডাই
ছয়টা,six o'clock,বিশেষণ,বিশেষ্য,বিশেষণ,ছউজ্ঞা,ছয়গু,ছোগান,ছয়টা,ছয়
জগৎকে,to the world,বিশেষ্য,বিশেষ্য,বিশেষ্য,জগতেরে,জগতরে,যগতরে,জগৎরে,ছোগা
জঘন্য,Disgusting,ক্রিয়া,বিশেষণ,বিশেষণ,জঘইন্য,বাদ,জঘন্য,জঘন্য,জগতেরে
জঙ্গলে,in the forest,অব্যয়,অব্যয়,অব্যয়,জঙ্গলে,জঙ্গলো,যঁঅলঅত,জংগলে,জঘন্য
জড়িয়ে,wrapped up,ক্রিয়া,ক্রিয়া,ক্রিয়া,জড়াইছে,জড়ায়,জড়াইয়ে,জড়ায়,জঙ্গলে
জন,John,বিশেষ্য,বিশেষ্য,বিশেষ্য,জন,জন,জন,জন,জড়াই
জনকে,John,বিশেষ্য,বিশেষ্য,বিশেষ্য,জনরে,জনরে,মানুষরত,জনরে,জন
জনপ্রিয়,Popular,বিশেষ্য,বিশেষণ,বিশেষণ,জনপ্রিয়,জনপ্রিয়,যনফ্রিয়,জনপ্রিয়,জনরে
জনপ্রিয়,popular,বিশেষণ,বিশেষণ,বিশেষণ,জনপ্রিয়,জনপ্রিয়,জনফ্রিও,জনপ্রিয়,জনপ্রিয়
জনসংখ্যা,population,বিশেষ্য,বিশেষ্য,বিশেষ্য,জনসংখ্যা,মাইনষের সংখ্যা,যনসংক্যা,জনসংখ্যা,জনপ্রিয়
জনসংখ্যার,of the population,অব্যয়,বিশেষণ,বিশেষ্য,জনসংখ্যার,মাইনষর,যনসংখ্যার,জনসংখ্যার,জনসংখ্যা
জনিত,caused by,বিশেষণ,বিশেষণ,বিশেষণ,নাহান,জনিত,জনিত,জনিত,জনসংখ্যার
জনেরই,Everyone's,বিশেষ্য,বিশেষণ,বিশেষ্য,জনেরই,জনেরই,জনেরই,জনেরই,জনিত
জন্ম,the birth,সর্বনাম,বিশেষ্য,বিশেষ্য,জন্ম,জনম,জন্ম,জন্ম,জনেরই 
জন্মদিন,birthday,বিশেষ্য,বিশেষ্য,বিশেষ্য,জন্মদিন,জন্মদিন,জন্মদিন,জন্মদিন,জন্ম
জন্মদিনে,on birthday,অব্যয়,অব্যয়,অব্যয়,জন্মদিনে,জন্মদিনো,জন্মদিন,জন্মদিনে,জন্মদিন
জন্য,for,অব্যয়,অব্যয়,অব্যয়,লইজ্ঞা,লাগি,লাই,লাইজ্ঞা,জন্মদিনে
জন্যই,for,অব্যয়,অব্যয়,অব্যয়,লইজ্ঞাই,লাগি,লাই,লাইজ্ঞাই,লাই
জন্যেই,just for,বিশেষণ,অব্যয়,অব্যয়,লইজ্ঞাই,লাগিউ,হারনেল্লাই,লাইজ্ঞাই,লাই
জব,Job,বিশেষ্য,বিশেষ্য,বিশেষ্য,জব,জব,ছোরি,জব,লাইয়ে
জবাব,answer,বিশেষ্য,বিশেষ্য,বিশেষ্য,জবাব,জবাব,জবাব,জবাব,জব
জমা,deposit,বিশেষ্য,বিশেষ্য,ক্রিয়া,জমা,জমা,জমা,জমা,জবাব
জমায়,in deposit,অব্যয়,ক্রিয়া,ক্রিয়া,করে,জমাইন,যমায়,জমায়,জমা
জমি,the land,সর্বনাম,বিশেষ্য,বিশেষ্য,জমি,জমিন,জমি ,জুমি,জমায়
জয় করা,to conquer,ক্রিয়া,ক্রিয়া,ক্রিয়া,জেতা,জিতি যাওয়া,জিতোন,জিতা ,জমি 
জয় করেছে,has won,ক্রিয়া,ক্রিয়া,ক্রিয়া,জেতছে,জিতিলিসে,জিত্তি,জয় অরছে,পাইজান
জরুরি,urgent,বিশেষ্য,বিশেষণ,বিশেষণ,দরকারি,দরখারি,যরুরি,জরুরি,জিতছে
জরুরি,urgent,বিশেষ্য,বিশেষণ,বিশেষণ,জরুলি ,দরকারি,জরুরি ,দরকারি,জরুরি
জলের,of water,অব্যয়,বিশেষণ,বিশেষ্য,পানতের,পানিত,ফানির,ফানির,জরুরি 
জাগায়,wakes up,বিশেষ্য,ক্রিয়া,ক্রিয়া,এইহানে,জাগাত,যায়গাত,জাগায়,হানির
জাগিয়েছিল,woke up,ক্রিয়া,ক্রিয়া,ক্রিয়া,জাগাইছে  ,জাগাইছিল,জাইজ্ঞিল,জাগছিলেন,জাগাত
জাতীয়,national,বিশেষণ,বিশেষণ,বিশেষণ,জাতীয়  ,জাতীয়,জাতীয়,জাতীয় ,জাগাইছিলো 
জানত,knew,বিশেষ্য,ক্রিয়া,ক্রিয়া,জানতে,জানতা,জানিত,জানত,জাতীয়
জানতাম,I knew,সর্বনাম,ক্রিয়া,ক্রিয়া,জানতাম,জানতাম,জাইন্তাম,জানতাম,জাইনতো
জানতে,to know,ক্রিয়া,ক্রিয়া,ক্রিয়া,জানতে,জানতাম,জানিত,জানতে,জাইনতাম
জানা,to know,ক্রিয়া,ক্রিয়া,ক্রিয়া,জানতাম  ,জানা,জানি,জানা ,জাইনতে
জানাই,let me know,ক্রিয়া,ক্রিয়া,ক্রিয়া,কই,জানাই,জানাই,জানাই,জানা
জানাজানি,known,বিশেষ্য,বিশেষ্য,বিশেষ্য,জানাজানি,জানাজানি,জানাজানি,জানাজানি,জানাই
জানাজানি হলে,If it is known,অব্যয়,বিশেষ্য,অব্যয়,জানলে,জানাজানি ওইলে,জানাজানি হলে,হুনাহুনি হইলে,জানাজানি
জানাতে,to inform,ক্রিয়া,ক্রিয়া,ক্রিয়া,জানাইতে,জানাতে,জানাতাম,জানাইতাম,জানাজানি
জানান,inform,বিশেষ্য,ক্রিয়া,ক্রিয়া,বুইঝাইছে  ,জানাইন,জানাইয়ে,জানান,জানাইতাম
জানানো,inform,বিশেষ্য,ক্রিয়া,ক্রিয়া,জানাইন্না,জানানি,জানানো,জানানো,জানান
জানাবো,I will tell,সর্বনাম,ক্রিয়া,ক্রিয়া,জানামু,জানাইতাম,হইয়ুম,জানায়াম,জানানো
জানার,to know,ক্রিয়া,বিশেষণ,ক্রিয়া,জানার,জানার,জানিবের,জানার,জানামু
জানাল,Told,বিশেষ্য,ক্রিয়া,ক্রিয়া,জানাইছে,জানাইলো,জানাল,জানাইল,জানার
জানায়,told,বিশেষ্য,ক্রিয়া,ক্রিয়া,কয়,জানায়,জানায়,জানায়,জানাইছে
জানি,i know,বিশেষ্য,ক্রিয়া,ক্রিয়া,জানি,জানি,যানি,জানি,জানায়
জানিনা,don't know,ক্রিয়া,ক্রিয়া,ক্রিয়া,জানিনা,জানিয়ার,হইন্নো,জানিনা,জানি
জানিয়ে,informed,ক্রিয়া,ক্রিয়া,ক্রিয়া,কইয়া,জানাইয়া,জানাই,জানায়া,কইতাম হারি না
জানিয়েছিলেন,informed,ক্রিয়া,ক্রিয়া,ক্রিয়া,বুইঝাইছে  ,জানাইছলা,জানাইলেন,জানাইলেন,জানাই
জানিয়েছেন,Said,বিশেষ্য,ক্রিয়া,ক্রিয়া,বুইঝাইছে  ,জানাইছইন,জানাইয়্যি,জানাইছিলেন,জানাইছিলেন
জানে,Knows,বিশেষ্য,ক্রিয়া,ক্রিয়া,জানে,জানে,যানে,জানে,জানাইসেন 
জানেন,you know,সর্বনাম,ক্রিয়া,ক্রিয়া,পারেন,জানেন,জানন্না,জানেন,জানে
জানেনা,don't know,ক্রিয়া,ক্রিয়া,ক্রিয়া,জানেনা,জানেনা,হইত ন ফারে,কইতে ফারেনা,জানেন
জানো,know,ক্রিয়া,ক্রিয়া,ক্রিয়া,জানো,জানোনি,যানো,জানো,কইতে হারে না
জামরুল,Jamrul,বিশেষ্য,বিশেষ্য,বিশেষ্য,লকট,জামির,জাম্বুরা,জামরুল,জানো
জামা,clothes,বিশেষ্য,বিশেষ্য,বিশেষ্য,জামা,জামা,হঅর,জামা,জামরুল
জামাই,Son-in-law,বিশেষ্য,বিশেষ্য,বিশেষ্য,জামাই,জামাইয়ে,আর,জামাই,জামা
জাম্বুরা,grapefruit,বিশেষ্য,বিশেষ্য,বিশেষ্য,ছোলোম,জাম্বুরা,জাম্বুরা,জাম্বুরা,জামাই
জায়গাইয়,place,বিশেষ্য,অব্যয়,অব্যয়,জায়গায়,জেগাত,জায়গাত,জায়গাইয়,জাম্বুরা
জায়গায়,in place,অব্যয়,অব্যয়,অব্যয়,হানে,জেগাত,মিক্কে,জায়গায়,জায়গাত
জায়গা,the place,সর্বনাম,বিশেষ্য,বিশেষ্য,জাগা ,জাগা,জাগা,জায়গা,জায়গাত
জায়গা-জমি,land,বিশেষ্য,বিশেষ্য,বিশেষ্য,জমিজমা  ,জাগা-জমিন,জায়গাজমি,জায়গাজমি,জাগা 
জায়গারও,of place,অব্যয়,বিশেষণ,বিশেষ্য,জায়গারও,জায়গা,জায়গার,জায়গারও,জায়গা-জমি
জায়গায়,in place,অব্যয়,অব্যয়,অব্যয়,জায়গায়  ,জাগাত,জায়গাত,জায়গায়,জায়গার
জিগ্গেস,Zigges,বিশেষ্য,ক্রিয়া,ক্রিয়া,জিগায়,জিগাইছে,জিজ্ঞেস,জিগ্গেস,জায়গায়
জিততে,To win,ক্রিয়া,ক্রিয়া,ক্রিয়া,জিতার লাইগা  ,জিততে,জিতবার লাইগা,জিততে,জিজ্ঞায়
জিতে,won,বিশেষ্য,ক্রিয়া,ক্রিয়া,জিতছে  ,জিতি,জিতি,জিত্তা,জিততে
জিনিষটা,the thing,সর্বনাম,বিশেষ্য,বিশেষ্য,জিনিশ খান,ওগুতা ,জিনিসগান,জিনিসডা,জিতি 
জিনিস,thing,বিশেষ্য,বিশেষ্য,বিশেষ্য,জিনিস,জিনিস,জিনিস,জিনিস,জিনিষটা 
জিনিসও,things too,বিশেষ্য,বিশেষ্য,বিশেষ্য,জিনিসও,জিনিসও,জিনিসও,জিনিসও,জিনিস
জিভে,on the tongue,অব্যয়,অব্যয়,অব্যয়,জিবরায়,জিফলাত,জিব্বাত,জিভে,জিনিসও
জীবন,the life,সর্বনাম,বিশেষ্য,বিশেষ্য,জিবন,জীবন,জিবন,জীবন,জিব্বাত
জীবনটা,the life,সর্বনাম,বিশেষ্য,বিশেষ্য,জীবনডা,জীবনটা,জিবননান,জীবনডা,জীবন
জীবনযাপনের,of living,অব্যয়,বিশেষণ,বিশেষ্য,জীবন চালাইবার  ,জীবনযাপনের,জিন্দেগি যাপনর,জীবনযাপনের,জীবনগা
জীবনসঙ্গীকে,spouse,বিশেষ্য,বিশেষ্য,বিশেষ্য,জীবনসঙ্গীরে,পেয়ারের মানুষরারে,জীবনসঙ্গীরে,জীবনসঙ্গীরে,জীবনযাপনের
জীবনে,in life,অব্যয়,অব্যয়,অব্যয়,জীবনে,জীবনে,জিবনত,জীবনে,জীবনসঙ্গীরে
জীবনের,of life,অব্যয়,বিশেষণ,বিশেষ্য,জীবনের,জীবনর,জিবনর,জীবনের,জীবনে
জুগিয়েছেন,provided,ক্রিয়া,ক্রিয়া,ক্রিয়া,জোগাইছে  ,করছইন,জুগায়ছিলো,জুগাইছেন,জীবনের
জুড়িয়ে,along with,অব্যয়,ক্রিয়া,ক্রিয়া,জুড়াইয়া,জুড়াই,যুরায়,জুড়িয়ে,জুগিয়েছেন
জুড়ে,throughout,অব্যয়,অব্যয়,ক্রিয়া,জুইররা,জুড়িয়া,জুড়ে,জুইড়া,জুড়াই
জুম্মার,Friday,বিশেষণ,বিশেষণ,বিশেষ্য,জুম্মার,জুম্মা,জুমার,জুম্মার,জুড়ি
জেগে,wake up,ক্রিয়া,ক্রিয়া,ক্রিয়া,জাইগা,জাগিয়া,জাগি,জাইজ্ঞা,জুম্মার
জেতেনি,did not win,ক্রিয়া,ক্রিয়া,ক্রিয়া,জিততে পারে নাই  ,জিতসেনা,ন জিতে,জিতছেনা,জাগি
জেনে,knowing,ক্রিয়া,ক্রিয়া,ক্রিয়া,জাইননা,জানিলাইছি,জানি,জাইন্না,জিতেনো 
জেলা,district,বিশেষ্য,বিশেষ্য,বিশেষ্য,জেলা,জেলা,জেলা,জেলা,জানি
জেলেরা,the fishermen,সর্বনাম,বিশেষ্য,বিশেষ্য,জাইল্লারা,জেলেওকলতে,জাইল্লা,জেলেরা,জেলা
জোগানোর,to provide,বিশেষণ,ক্রিয়া,ক্রিয়া,জোগান দিবার  ,জুগানির,জোগার গরন,জোগানোর,জাইল্লারা
জোড়া,the pair,সর্বনাম,বিশেষ্য,বিশেষ্য,জোড়া,দুইটা,যোরা,জোড়া,জোগানির
জোর,emphasis,বিশেষ্য,বিশেষ্য,বিশেষ্য,জোর,জোর,জোর,জোর,জোড়া
জোস,Jose,ক্রিয়া,বিশেষ্য,বিশেষ্য,জোশ,ভালা,জোস,জোস,জোর
জোড়া,the pair,সর্বনাম,বিশেষ্য,বিশেষ্য,জোরা,জোড়া,জোড়া,জোড়া,জোস
জ্ঞান,the knowledge,সর্বনাম,বিশেষ্য,বিশেষ্য,গেয়ান ,আখল,আক্কল,গেয়ান,জোড়া
জ্বর,fever,বিশেষ্য,বিশেষ্য,বিশেষ্য,জ্বর,তাফ,জ্বর,জ্বর ,জ্ঞান 
জ্বালা,irritation,বিশেষ্য,বিশেষ্য,বিশেষ্য,জ্বালা,জ্বালা,জালা,জ্বালা,জ্বর
জ্বেলে,burn,বিশেষ্য,ক্রিয়া,ক্রিয়া,জ্বালাইয়া,জ্বালাইয়া,যালাই,জ্বেলে,জ্বালা
জড়াজড়ি,tangled,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঠাসাঠাসি  ,জড়াজড়ি,কোলাকুলি,জড়াজড়ি,জালাই
জড়াবেন,join,বিশেষ্য,ক্রিয়া,ক্রিয়া,জরাইবেন,জড়াইবা,জরাইবান,জড়াইয়েন,জড়াজড়ি
জড়ায়,in the tangle,অব্যয়,ক্রিয়া,ক্রিয়া,জড়াইয়া,জড়াই,জরাই,জড়ায়া,জরাইয়েন
জড়িয়ে,wrapped up,ক্রিয়া,ক্রিয়া,ক্রিয়া,জাবরাইয়া,জড়াইয়া,বেরাই,জড়ায়া,জড়াই
জয়ে,in victory,অব্যয়,অব্যয়,অব্যয়,জয়  ,জয়ে,জিতিয়্যেরে,জয়ে ,জড়াই
জয়ের,of victory,অব্যয়,বিশেষণ,বিশেষ্য,জয়ের  ,জয়ের,জিতার,জিতার ,জয়ে
ঝগড়া,quarrel,বিশেষ্য,বিশেষ্য,বিশেষ্য,কাইজ্জা,মাইর,হইয্যা,কাইজ্জা,জয়ের
ঝগড়াঝাটি,Quarrel,বিশেষ্য,বিশেষ্য,বিশেষ্য,কাইজ্জা,ঝগড়াঝাটি,হইজ্জা,ঝগড়াঝাটি,কইজ্জা
ঝগড়ার,quarrel,বিশেষ্য,বিশেষণ,বিশেষ্য,কাইজ্জার,ঝগড়ার,ঝগরার,ঝগড়ার,ঝগড়াঝাটি
ঝাড়ু,the broom,সর্বনাম,বিশেষ্য,বিশেষ্য,ঝারু,ঝাড়ু,ঝাড়ু,ঝাড়ু,ঝগড়ার
ঝামেলা,trouble,বিশেষ্য,বিশেষ্য,বিশেষ্য,কাইজ্জা,ঝামেলা,যামিলা,ঝামেলা,ঝাড়ু
ঝুঁকেছি,bent over,বিশেষ্য,ক্রিয়া,ক্রিয়া,ঝুঁকি নিছি  ,ঝুঁকেছি,ঝুইক্কি,ঝুঁকছি,ঝামেলা
ঝুলে,hung up,বিশেষ্য,ক্রিয়া,ক্রিয়া,লেইগা থাহে  ,লখটে,ঝুলের,ঝুলে,ঝুইকসি 
ঝে,Jhe,বিশেষ্য,ক্রিয়া,অব্যয়,মাঝে,মাঝে,মাঝে,মাঝে,ঝুলে
ঝোল,the broth,সর্বনাম,বিশেষ্য,বিশেষ্য,হুররা,ঝোল,ঝোল,ঝোল,মাঝে
টঙ্গিবাড়ী,Tongibari,বিশেষ্য,বিশেষ্য,বিশেষ্য,টঙ্গিবাড়ী  ,টঙ্গিবাড়ী,টঙ্গিবাড়ী,টঙ্গী বাড়ি,ঝোল
টঙ্গিবাড়ীতে,In Tongibari,অব্যয়,অব্যয়,অব্যয়,টঙ্গিবাড়ীত  ,টঙ্গিবাড়ীতে,টঙ্গিবাড়ীত,টঙ্গী বাড়িত,টঙ্গিবাড়ী
টমেটো,tomato,বিশেষ্য,অব্যয়,বিশেষ্য,টমাটু,টমেটো,টমাটু,টমেটো,টঙ্গিবাড়ীতে
টমেটোর,Tomato,বিশেষ্য,বিশেষণ,বিশেষ্য,টমাটুর,টমেটোর,টমাটুর,টমেটোর,টমাটু
টা,The,সর্বনাম,অব্যয়,অব্যয়,ডা,টা,ইবা,ডা,টমাটুর
টাক,bald,বিশেষ্য,বিশেষ্য,বিশেষ্য,টাকলা,টাখলা,টাক,টাক,আন
টাকা,money,বিশেষ্য,বিশেষ্য,বিশেষ্য,টাহা,টেখা,টিয়া,টেহা,টাক
টাকাপয়সা,money,বিশেষ্য,বিশেষ্য,বিশেষ্য,টাহাকড়ি  ,টেকাপয়সা,টেহা-পয়সা,টেহা-পয়সা,টেয়া
টাকাপয়সার,money,বিশেষ্য,বিশেষণ,বিশেষ্য,টাহাপয়সার,টেকা পয়সা ,টিয়া-পয়সা,টেহাপয়সা,টাকাপয়সা
টাকার,Money,বিশেষ্য,বিশেষণ,বিশেষ্য,টাহার,টেখার,টেয়ার,টেহার,টেয়া হইশা
টার,tar,বিশেষ্য,অব্যয়,অব্যয়,টার,টার,টার,টার,টাকার
টালবাহানা,talbahana,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঢিলেমি  ,টালবাহানা,টালবাহানা,টালবাহানা,টার
টি,T,বিশেষ্য,অব্যয়,অব্যয়,ডা,টা,লতি,টি,টালবাহানা
টিউশনি,Tuition,বিশেষ্য,বিশেষ্য,বিশেষ্য,টিউশানি,টিউশনি,টিউশনি,টিউশনি,গা
টিকটকে,Tiktok,বিশেষ্য,অব্যয়,বিশেষ্য,টিকটকে,টিকটকওতাত,টিকটকত,টিকটকে,টিউশনি
টিকবে,will last,ক্রিয়া,ক্রিয়া,ক্রিয়া,টেকবে,টিকতো,টিকিবো,টিকব,টিকটকে
টিনের,of tin,অব্যয়,বিশেষণ,বিশেষ্য,টিনের,টিনর,টিনর,টিনের,টিকতো
টিভি,TV,বিশেষ্য,বিশেষ্য,বিশেষ্য,টিবি,টিভি,টিবি,টিভি,টিনের
টিমটিমে,Team Team,বিশেষ্য,বিশেষণ,বিশেষ্য,আলো কম  ,টিমটিমে,টিমটিমে,কম ,টিভি
টু,to,অব্যয়,বিশেষ্য,অব্যয়,কয়ডা,থুরা,টু,টু,টিমটিমে
টুকটাক,bit by bit,বিশেষ্য,বিশেষ্য,বিশেষণ,টুকটাক,টুকিটাকি,টুকটাক,টুকটাক,টু
টুকরো,pieces,বিশেষ্য,বিশেষ্য,বিশেষ্য,টুকরা,টুকরা,টুকরা,টুকরো,টুকটাক
টুকু,bit,বিশেষ্য,অব্যয়,অব্যয়,ডু,এখঝারা ,টুকু,টুকু,টুকরা
টুপি,hat,বিশেষ্য,বিশেষ্য,বিশেষ্য,টুপি,টুপিআলা,টুফি,টুপি,টুকুন
টেনে,pulling,ক্রিয়া,ক্রিয়া,ক্রিয়া,টেনে,টেনে,টেনত,টেনে,টুপি
টেবিলে,on the table,অব্যয়,অব্যয়,অব্যয়,টেবিলে,টেবুলো,টেবিলোত,টেবিলে,টেনে
টেবিলের,of the table,অব্যয়,বিশেষণ,বিশেষ্য,টেবিলের,টেবিলওর,টেবিলর,টেবিলের,টেবিলে
টেলিভিশন,Television,বিশেষ্য,বিশেষ্য,বিশেষ্য,টিভি,টিভি,টেলিভিশন,টেলিভিশন,টেবিলের
টেলিভিশনে,on television,অব্যয়,অব্যয়,বিশেষ্য,টিভিতে,টিভিত,টেলিভিশনর,টেলিভিশনে,টেলিভিশন
টেলিভিশনের,of television,অব্যয়,বিশেষণ,বিশেষ্য,টিভি'র,টিভির,টেলিভিশন,টেলিভিশনের,টেলিভিশনে
টোকাও,tap on,বিশেষ্য,ক্রিয়া,ক্রিয়া,টোক্কাও,টুকাও,টোকাও,টোকাও,টেলিভিশনের
টোমেটো,tomato,বিশেষ্য,বিশেষ্য,বিশেষ্য,টমাটু,টেমাটু,টমেটো,টোমেটো,টোয়াও
ট্রেনিং,training,বিশেষ্য,বিশেষ্য,বিশেষ্য,টেরনিং,ট্রেনিং,ট্রেনিং,ট্রেনিং,টমাটো
ট্রেনে,on the train,অব্যয়,অব্যয়,অব্যয়,টেরেনে,ট্রেইনে,ট্রেনর,ট্রেইনে,ট্রেনিং
ঠকাইছে,Cheating,ক্রিয়া,ক্রিয়া,ক্রিয়া,ঠগাইছে,ঠকাইছে,ঠকাইয়ে,ঠকাইসে,ট্রেইনে
ঠকাইতে,cheat,বিশেষ্য,ক্রিয়া,ক্রিয়া,ঠগাইতে,বাটফারিত,ঠহাইতো,ঠহাইতে,আরে
ঠকার,to cheat,ক্রিয়া,ক্রিয়া,ক্রিয়া,ঠকার,ঠকার,থকিবার,ঠকার,ঠকাইতে
ঠকে,cheated,ক্রিয়া,ক্রিয়া,ক্রিয়া,ঠইজ্ঞা,ঠগি,ঠকি,ঠইক্কা,ঠকার
ঠাঁই,place,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঠাঁই  ,জায়গা,জায়গা,জায়গা ,ঠকি
ঠাণ্ডা,cold,বিশেষ্য,বিশেষ্য,বিশেষণ,শিত,ঠান্ডা,টান্ডা,ঠাণ্ডা,ঠাঁই
ঠান্ডা,the cold,সর্বনাম,বিশেষ্য,বিশেষণ,ঠান্ডা,ঠান্ডা,টান্ডা,ঠান্ডা,ঠান্ডা
ঠান্ডা,cold,বিশেষ্য,বিশেষ্য,বিশেষণ,ঠাণ্ডা,টাইয়া,ঠান্ডা,থান্ডা ,ঠান্ডা
ঠিক,right,বিশেষ্য,বিশেষণ,বিশেষণ,হাস্সইঅ,ঠিক,টিক,ঠিক,ঠান্ডা
ঠিকমত,properly,বিশেষণ,অব্যয়,অব্যয়,ঠিকমত,ঠিককরি,ঠিকগরি,ঠিকমত,ভালা
ঠিকমতো,properly,বিশেষণ,অব্যয়,অব্যয়,ঠিক্মতো,ঠিকমতো,ঠিকমতো,ঠিকমতো,ঠিকমতন
ঠিকানা,address,বিশেষ্য,বিশেষ্য,বিশেষ্য,ঠিকানা  ,ঠিকানা,ঠিকানা,ঠিহানা,ঠিকমতন
ঠিকানাহীন,addressless,বিশেষ্য,বিশেষণ,বিশেষণ,ঠিকানা নাই  ,ঠিকানাহীন,ঠিকানা ছাড়া,বাড়িনাই ,ঠিকানা
