Sylhet_bangla_speech,Noakhali_bangla_speech,Mymensingh_bangla_speech,Chittagong_bangla_speech,Barishal_bangla_speech
আফনে বাঁচিয়া আছইন নি?,আন্নে বাচি আছেন?,আফনে বাইচ্চা আসেন?,গুডায়ান দেইবার অফেক্কার লাই বই তাইক্কি,আমনে বাইচ্চা আছেন?
আশেপাশে খেউ থাখলে কল দেইন যেন,আশেহাশে কুনুগা থাইকলে কল দিয়েন,আশেফাশে কেউ থাকলে কল দিয়েন,অনে বাচি আচন নে?,আশেপাশে কেউ থাকলে ফোন দিয়েন
দেখা খরা যাইবো,দেয়া করন যাইবো,দেহা করা যাইব,আশেফাশে হনিকাই তাকিলে কল দিয়ন,দ্যাহা করা যাইবে
কুনতা পাইতে অইলে  কুনতা ছাড়া লাগবো,কিছু হাইতাম অইলে কিছু ছাইড়তাম অয়,কিসু পাইতে হইলে কিসু ছাড়তে হইব,দেহা গরা যাইবো,কিছু পাইতে হইলেই কিছু ছাড়তে হইবে
বাংলাদেশো মোরে সবে মোর ডাখ নামে চিনইন,বাংলাদেশ এ আরে সবাই আর ডাক নামে চিনে,বাংলাদেশে আমারে বেহেই আমার ডাক নামে চিনে,কিচু ফাইতো অইলে কিচু চাইরতো অই,বাংলাদেশে মোরে হগলডি মোর ডাক নামে চেনে
দুই ঘন্টা ধরি বিদ্যুৎ যার না,দুই ঘন্টা ধরি কারোন যায়নো,দুই ঘন্টা ধইর বিদ্যুৎ যায়নাই,বাংলাদেশঅত আঁরে বেজ্ঞুনে আঁর ডাকনামে চিনে,দুই ঘণ্টা হইছে কারেন্ট যায় নাই
কারেন্টর অফিসর বেটা মরি গেলো নাকিতা?,কারেন্টের অফিসের বেডাগা কি মরি গেলো নি,বিদ্যুৎ অফিসের বেডাডা কি মইরা গেল নাকি?,দুই গন্টা দরি কাআরন ন যায়,কারেন্ট অপিসের ব্যাডাডা কি মইরা গ্যালে নিহি?
হবার মুই বাক্কা ৪ মাস বাদে বাসাত গেছি,হেইবার আই লাজেন ৪ মাস হরে বাইত গেছি,হেইবার আমি প্রায় ৪ মাস ফরে বাসায় গেসি,বিদ্যুত আফিসর মানুষওয়া কি মরি গেইয়্যুই নিকি?,হেইবার আমি পেরায় ৪ মাস পরে বাসায় গেল্লাম
আব্বার মুখর দিকে চাইয়া কিলান এখটা শূন্যতা অনুভব খরলাম,বাবার মুখের দিকে তাকাই কেক্কান শূন্যতা অনুভব কইরলাম,আব্বার মুখের দিকে তাকায়া কেমন জানি একটা শূন্যতা অনুভব করলাম,অইমত্তন আঁই ফ্রায় চাইর মাস ফর বাসাত গেয়্যি,বাপের মোহের দিকে চাইয়া কেমন জানি এউক্কা ফাঁকা ফাঁকা অনুভব করলাম
কুনদিন যে আমার স্বপ্নটা পুরণ অইতো,কোনদিন যে আর স্বপ্নগা পূরন অইব,কবে যে আমার স্বপ্নডা পূরণ হইব,আব্বুর মুকর ইক্কা চাই কেন যানি হালি হালি লাগের,কবে যে মোর স্বপ্নডা পুরোন হইবে
আফনে কিতা আফনার হাত ধুয়া চিনইন নি?,আন্নে কি আন্নের হাত ধুইতাম জানেন,আফনে কি আফনের হাত ধুইতে জানেন?,হত্তে যে আঁর সফ্ন আন ফুরন অইবো,আমনে কি আমনের হাত ধুইতে পারেন?
আফনে  কিতা খামারর পশু পছন্দ করইন নি?,আন্নে কি খামারের হশু হছন্দ করেন,আফনে কি খামারের পশু ফছন্দ করেন?,অনে কি অনর আত দুইতো জানন নে?,আমনে কি খামারের পশু পছন্দ করেন?
মুই মোর পরিবারর খতা কইতাম চাই,আই আর হরিবারের কথা কইতাম চাই,আমি আমার পরিবারের কথা কইতাম চাই,অনে কি হামারর ফশু ফচন্দ গরন নে?,মুই মোর পরিবারের লগে কথা কইতে চাই
"মোর পরিবারো মুই আম্মা, আব্বা আর এক হুরু বইন ",আর হরিবারে আই মা আর এগগা ছোড বইন,"আমার পরিবারে আমি আম্মা, আব্বা আর একটা ছোট্ট বইন",আঁই আঁর ফরিবারর হতা হইতো চাই,"মোর পরিবারে মুই মা, আব্বা আর এউক্কা ছোডো বুইন"
আমরার হখল এখ সময়ে একলগে আছি,আংগোর বেকে একসময় একলগে আছি,আমাদের বেহেই একসময়ে একসাথে আসি,"আঁর ফরিবারে আঁই, মা, বাবা আর ওজ্ঞা গুরা বইন",মোগো বেবাকডি একসময় একলগে আছি
আমরা  খুব খুশি,আমরা মেলা খুশি,আমরা মেলা খুশি,আঁরার বেজ্ঞুন একসময় এক্কোফোয়ারে আচি,মোরা বেমালা খুশি
আমরার পরিবারো আনন্দর বাইরে কুনো লাগালাগি নাই,আংগো হরিবারে আনন্দের বাইরে কোন কাইজ্জা নাই,আমরার পরিবারে আনন্দের বাইরে কোন ঝগড়া নাই,আঁরা কুব কুশি,মোগো পরিবারে খুশির বাইরে কোনো কাইজ্জা নাই
মোর বন্ধুরা মোর জীবনর খুব গুরুত্বপুর্ণ অংশ,আর বন্দুঅগল আর জীবনের অনেক গুরুত্বপূর্ণ অংশ,আমার বন্ধুরা আমার জীবনের মেলা গুরুত্বপূর্ণ অংশ,আঁরার ফরিবারত আনন্দর বাইরে হনো হইয্যা নাই,মোর দোস্তোরা মোর জীবনের বেমালা দরকারি অংশ
মুই হখল সময় মোর গাউর মানুষর পাশে থাকতাম চাই,আই সবসময় আর গেরামের মানুষের হাশে থাইকতাম চাই,আমি বেগসময় আমার গ্রামের মানুষরার পাশে থাকতে চাই,আঁর বন্দুওক্কল আঁর জিবনর বউত গুরুত্বপূর্ণ অংশ,মুই হারা সময় মোর গেরামের মানের পাশে থাকতে চাই
খুব সুন্দর,মেলা সুন্দর,মেলা সুন্দর,আঁই এগাযা আঁর গেরামর মানুষওক্কলর ফাশে তাইক্তো চাই,বেমালা সুন্দর
আফনার লেখা অসাধারণ,আন্নের লেয়া অসাধারণ,আপনার লেহা অসাধারণ,বর সুন্দর,আমনের ল্যাহা অসাধারণ
আফনার ছবু দেকিয়া খুব ভালা লাগছে,আন্নের ছবি দেই মেলা ভাল্লাইগছে,আফনের ছবি দেইক্ষা খুব ভালা লাগসে,অনর লেহা অসাদারন,আমনের ছবি দেইক্ষা বেমালা ভালো লাগছে
অসাধারণ খরি লেখছইন,অসাধারণ করি লেইকছেন,অসাধারণ কইরা লেখসেন,অনর চবি দেকি কুব গম লাইজ্ঞে,অসাধারণ কইরা ল্যাখছেন
মোর  ভালা লাগছে আফনার খতা পড়িয়া,আর ভাল লাইগলো আন্নের কতা হরি,আমার ভালা লাগলো আফনের কথা ফইড়া,অসাদারন গরি লেইক্কোন,মোর ভালো লাগলো আমনের কথা পইড়া
আফনার অউ পোস্টটা খুবই উফকারী,আন্নের এই পোস্ট আন খুব উফকারী,আফনের এই পোস্টটা খুব উফকারী,আত্তুন গম লাইজ্ঞে অনর হতা ফরি,আমনের এই পোস্টটা বেমালা দরকারি
আফনার সুন্দর সুন্দর ছবিগুইন দেখিয়া মজা পাইছি,আন্নের সুন্দর সুন্দর ছবিগুন দেই আনন্দ হাইছি,আফনের সুন্দর সুন্দর ছবিগুলা দেইক্ষা আনন্দ পাইসি,অনর এই ফোস্ট ইয়ান কুব উফকারি,আমনের সুন্দর সুন্দর ছবিগুলা দেইখা সুখ পাইছি
আফনে খুব সুন্দর খরি সমস্যাটার সমাধান করছইন,আন্নে খুব সুন্দর করি সমস্যাগার সমাধান কইচ্ছেন,আফনে মেলা সুন্দরমতন সমস্যাডা সমাধান করসেন,অনর সুন্দর সুন্দর চবিগিন দেকি আনন্দ পাইয়্যি,আমনে ম্যালা সুন্দর মতো সমেস্যাডা সমাধান করছেন
আফনার  ব্লগটা পড়িয়া বাক্কা জিনিস শিখতাম ফারছি,আন্নের ব্লগগা পড়ি অনেক কিছু শিখতাম হাইচ্ছি.,আফনের ব্লগডা পইড়া অনেক কিছু শিখতাম ফারসি,অনে কুব সুন্দর গরি সমস্যাগান সমাদান গইরগন,আমনের ব্লগডা পইড়া বেমালা কিছু শেখতে পারছি
মুই আফনার কাজরে ভালাপাই,আই আন্নের কাজরে ভালোবাসি,আমি আফনের কামরে ভালবাসি,অনর ব্লগকান ফরি বউত কিচু শিকিত ফাইরগি,মুই আমনের কামরে ভালোবাসি
আফনার লেখার ধরন খুবই সুন্দর,আন্নের লেয়ার ধরন খুব সুন্দর,আফনের লেহার ধরণ মেলা সুন্দর,আঁই অনর হাযরে বালবাসি,আমনের ল্যাহার ধরন ম্যালা সুন্দর
আফনার ছবিটা দেখিয়া মন ভরি গেছে,আন্নের ছবি আন দেই মন ভরি গেছে,আফনের ছবিডা দেইক্ষা মন ভইরা গেল,অনর লেহার দরন কুব সুন্দর,আমনের ছবিডা দেইখ্যা মোন ভইরা গেলো
বাক্কা সুন্দর মাত মাতলা,খুব সুন্দর কতা কইছেন,খুব সুন্দর কথা কইসেন,অনর চবিয়ান দেহি মন বরি গেইয়্যুই,ম্যালা সুন্দর কথা কইছেন
আফনার মজার মজার মাত হুনলে হারাদিন মন ভালা থাকে,আন্নের মজার মজার কতা হুইনলে হারাদিন মন ভালা থায়,আফনের মজার মজার কথা হুনলে সারা দিন মন ভালা থাহে,কুব সুন্দর হতা হয়্যুন,আমনের মজার মজার কথা হুনলে হারা দিন মোন ভালো থাহে
এখদিন সুন্দর এখটা বাগানো এখটা ফুড়ি হাটের,একদিন সুন্দর এগগা বাগানে  এগগা মাইয়া হাইডেআছিলো,একদিন সুন্দর একটা বাগানে একটা মাইয়া হাঁটতাসিল,অনর মযার মযার হতা ফুনিলে আরাদিন মন বালা তাকে,এক দিন সুন্দর এউক্কা বাগানে এউক্কা মাইয়া হাঁটতেয়াছেলে
হউ আখাশর উড়া পাখির হান হুনলেউ মন খুশ অই যাইতো,হেতে আকাশে উড়ন্ত পাখির গান হুনাইতেই মন খুশি অই গেছে,হেই আকাশে উড়ন্ত পক্ষির গান হুনতেই মন খুশি হয়া উঠত,এদ্দিন সুন্দর এক্কান বাগানত ওজ্ঞা মাইফোয়া আডের,হ্যায় আকাশে উড়তে থাহা পাখির গান হোনতেই মন খুশি হইয়া ওঠতে
হউ ফুুল অতার রঙিন মেলা দেখিয়া হারলে মন ভরি যায়,হেতে ফুলগুনের রঙিন মেলা দেই  হৃদয় ভরি যায়,হেই ফুলগুলার রঙিন মেলা দেইক্ষা হৃদয় ভইরা যায়,অই আস্সানর উরন্ত ফেইকঅর গান ফুনিলেই মন কুশি অই যাইতই,হেই ফুলগুলার রংগিন মেলা দেইখ্যা মোন ভইরা যায়
তার লগে থাকা পুতুলগুইন হউ পুরির লগে খেলাত আয়,তার পাশে থাকা হুতুলগিন হেই মাইয়গার লগে খেইলতাম আইয়ে,তার ফাশে থাকা পুতুলগুলা হেই ছেড়ির সাথে খেলতে আসে,অই ফুল্লুন অর রঙিন মেলা দেহি রিদয় বরি যা গই,হ্যার লগে থাহা পুতুলগুলা হেই মাইয়ার লগে খেলতে আহে
তাই আরো এখটা বন্ধু বানাইতো চায় যেগুর নাম আছিল রাহাত,হেতে আরো এককান বন্দুবানাইতো চায় নাম অআছিলো রাহাত,হেয় আরও একটা বন্ধু বানাইতে চায় যার নাম আসিন রাহাত,তাঁর ডাহদ্দি তাকা ফুতুল্লুন অই মাইফোয়ার ফোয়ারে কেলা হাইতো আইয়্যে,হ্যায় আরো এউক্কা দোস্তো বানাইতে চায় যার নাম আল্লেহ রাহাত
তুমার বন্ধুরা হাছাউ ভালা মনর মানুষ,তোয়ার বন্দুরা সত্যি খুব ভালা মানুষ,তোমার বন্ধুরা আসলেই ভালো মনের মানুষ,ইবা আরও ওজ্ঞা বন্দু বানাইতো চার যার নাম রাহাত,তোমার দোস্তোরা আসলেই ভালো মনের মানু
তুমার বন্ধুরা হখল অউ খুব মেধাবী,তোয়ার বন্দুগুন বেকে মেদাবি,তোমার বন্ধুরা বেহেই মেলা মেধাবী,তোঁয়ারা বন্দুওক্কল সত্যিই বালা মনোর মানুষ,তোমার দোস্তোরা বেবাকডি বেমালা মেধাবী
তুমার বন্ধু্রার কান্দাত থাকতে খুব ভালা লাগে,তোয়ার বন্দুগোর লগে থাইকত ভালা লাগে,তোমার বন্ধুরার কাসে থাকতে খুব ভালা লাগে,তোঁয়ারা বান্দুবিওক্কল বেজ্ঞুন বর মেদাবি,তোমার দোস্তোগো লগে থাকতে বেমালা ভালো লাগে
হেঙ্গার বাদে মুটা অইবা অলা সফনো লইয়া বাঁচিয়া আছইন হাজার হাজার রাগ ফুড়িন,বিয়ার হর মোডা অইব এই স্বপ্ন লই বাচি রাইছে হাজারো চিঅন মাইয়া..,বিয়ার পর মোডা হইব এমন স্বপ্ন নিয়া বাইচ্চা আসে হাজারো পাতলা মাইয়া,তোঁয়ার বন্দুওক্কলর হাচে তাইক্তো কুম বালা লাগে,বিয়ার পর মোডা হইবে এমন স্বপ্ন লইয়া বাইচ্চা রইছে হাজারো হুগনা মাইয়া
"ফুড়িন্তে যে হারে ভদ্র ফুয়াইন খুজরা , ডর লাগের মুই নি কুন দিন কীডনাপ অই যাই",মাইয়া অগল যেন্নে ভালা ভদ্র হোলা খুজের ভয় লাগে কোনদিন না জানি আই কিডনাফ অই যাই,"মাইয়ারা যে হারে ভদ্র পোলা খুঁজতাসে, ভয় লাগতাসে কোনো দিন আমি কিডন্যাপ হয়া না যাই",বিয়ার ফর মোটা অইব এন সফ্ন লই বাচি আচে আযারো লেডা মাইফোয়া,"মাইয়ারা যে হারে ভদ্র পোলা খুঁজতেয়াছে, ভয় লাগতেয়াছে কোন দিন মুইও কিডন্যাপ হইয়া না যাই"
যেব্‌লা তুমার একলা লাগবো তুমি চাইরিদকে কিচ্চু দেখতায় নায়,যে সুমে তোমার একলা লাইগব তুউই চাইরোহাশে  কিছুই দেইকতে হাইতা ন,"খন তোমার একা লাগব, তুমি চারদিকে কিছুই দেখতে পাইবা না",মাইফোয়াঅক্কল যে হারে বদ্র ফোয়া তুয়ার ডর লাগের হন্দিন আঁরে কিডনাফ গরি লই যা গই,"যহন তোমার একলা লাগবে, তুমি হারাদিকে কিছুই দ্যাখতে পাবা না"
আইজ সিংগেল দেকিয়া কারো লাগি হাত কাটতাম ফারি না,আইজগা সিঙ্গেল দেই কুনুগার লাই হাত কাইটতাম হারি না,আজ সিঙ্গেল বইল্লা কারো লাইজ্ঞা হাত কাটতে ফারি না,"এহন তোয়াত্তুন গাআগাই লাগিবো , তুঁই চাইরোমিক্কা কিচু ন দেকিবা",আইজ সিঙ্গেল দেইখ্যা কারো লইজ্ঞা হাত কাটতে পারি না
সিনেমাত বিয়ার পর গল্প শেষ অই যায় আর বাস্তব জীবনো বিয়ার পর অউ সিনেমা শুরু অয়,ছবির ভিত্তে বিয়ার হর কায়িনি শেষ আর বাস্তব জীবনে বিয়ার হরেই আসল ছবির কাহিনী শুরু,সিনেমায় বিয়ের পর গল্প শেষ হয়ে যায় আর বাস্তব জীবনে বিয়ের পরই সিনেমা শুরু হয়,আয সিঙ্গেল বলি হনিকার লাই আত হডিত ন ফারির,সিনেমায় বিয়ার পর কেচ্ছা শেষ হইয়া যায় আর বাস্তব জীবনে বিয়ার পরই সিনেমা শুরু হয়
" আজকে গরীব দেকিয়া পৃথিবীত থাকিয়ার, ধনী অইলে মঙ্গল গ্রহত থাকতাম",আইজ গরিব দেই পৃথিবীত থাই বড়লোক অইলে মঙ্গল গ্রহে থাইকতাম,"আজ গরিব বইল্লা পৃথিবীতে থাকি, বড়লোক হইলে মঙ্গল গ্রহে থাকতাম","চিনেমাত বিয়ার ফর গল্ফ শেষ অই য গই, আর বাস্তবত বিয়ার ফর চিনেমা শুরু অই","আইজ গরীব দেইখ্যা পিরথিবিতে থাহি, বড়লোক হইলে মঙ্গল গ্রহে থাকতাম"
খালি ফুড়িন্তেউ পারইন বেচারা ফুয়াইন্তর সরল মনরে ফুটবল ভাবিয়া খেলতা,একমাত্র মাইয়ারাই হারে অবলা  হোলাগোর সহজ সরল মনগারে  লই ফুটবল এর মত খেইলতো,একমাত্র মাইয়ারাই ফারে অবলা পোলাদের সহজ সরল মনটা রে ফুটবল ভাইব্বা খেলা করতে,"আয গরিব বলি পিতিবিত তাকি , ডরমানুষ অইলে মঙগল গ্রহত তাকিতাম",খালি মাইয়ারাই পারে অবলা পোলাগো সহজ সরল মনডা রে ফুটবল ভাইবা খেলা করতে
মাঝে মাঝে মনে কয় থামিয়া থাকা গাড়ির চাক্কার তলে পড়িয়া মরি যাই,মাঝে মাইধ্যে মন চায় থামি থাকা গাড়ির নিচে পড়ি মরি যাই,মাঝে মাঝে মনডা চায় থাইম্মা থাকা গাড়ির নিচে পইরা মইরা যাই,একমাত্র মাইফোয়াঅক্কল ফারে সহজ সরলব ফোয়াওক্কলর মন নান এরে ফুটবল টা আরি কেলা হাইতো,মাঝে মইধ্যে মোন চায় থাইম্মা থাহা গাড়ির তলে পইড়া মইরা যাই
"বউরে ভালোবাসা হিকইন, কিন্তু কার বউ হিকটা দেখার দরকার নায়",বউকে ভালোবাসতে শিখেন কিন্তু কার বউ হেটা দেইকবার বিষয় না,"বউরে ভালোবাসতে শিখেন, কিন্তু কার বউ হেইডা দেহার বিষয় না",মাজে মাজে মন হঅয়তিয়াই তাইক্কেদে ইল্লা গারিত তলে ফরি মরি যাইগোই,"বউরে ভালোবাসতে শেখেন,তয় কার বউ হেইডা দেহার ব্যাপার না"
এখবার ধরিলাইলে হাত ছাড়তা না কুনোসময় বেমারি হুকনা ফুড়িন্তরে দেকিয়া মনে কয় ভিটামিনর বুতল কিনিয়া দিলাই,একবার ধইল্লে আত ছাইডদোনো কোনসুমে রোগা হাতলা মাইয়া গুন দেইকলে মনে কয় এগগা ভিটামিন এর বতল কিনি দি,একবার ধরলে হাত ছাড়বেনা কহনো রোগা পাতলা মাইয়া গুলারে দেইক্ষা মনে হয় ভিটামিনের বোতল কিন্না দেই,"বউ অরে বালবাইসতে শিকঅন ,কিন্তু হার বউ ইয়ান দেহার বিষয় নয়",এউক্কা বার ধরলে হাত ছাড়বেননা কহনো রোগা পাতলা মাইয়া গুলারে দেইখা মনে হয় ভিটামিনের বোতল কিন্যা দেই
সফনত দেখলাম ক্রাশর লগে পাখানিত গেছি এর বাদে যা অইলো ইতা সব ইতিহাস,স্বপ্ন দেইকলাম ক্রাশের লগে ঘুইরতাম গেছি   পরে দি যা অইছে হেটা ইতিহাস,স্বপ্ন দেখলাম ক্রাশের সাথে ঘুরতে গেসি তার পর যা হইলো বেগ ইতিহাস,এব্বার দইরলে আত ন চারিবা হনো সময় লেডা মাইফোয়া ওক্কলেরে দেইলে মনো অয় বিটামিন অর বতল কিনি দি,স্বপ্ন দেখলাম কেরাসের লগে ঘোরতে গেছি হেইয়ার পর যা হইলো সব ইতিহাস
যেব্‌লাকু ভাবি তুমি ছাড়া আমার জিন্দেগি আইন্দাইর ঠিক হ সময় অউ কারেন্ট আই অয়,যন ভাবি তুমি ছাড়া আই অন্দকার ঠিক তন এ দেই কারেন্ট চলি আইয়ে,"যহন ভাবি তুমি ছাড়া আমার জীবনডা আন্ধার, ঠিক তহনই কারেন্ট চইল্লা আসে",সফ্নঅত দেইলাম ক্রাশর ফোয়ারে গুইরত গেয়্যি তারফর যা অয়্যে ইয়ান ইতিহাস,"যহন ভাবি তুমি ছাড়া মোর জীবনডা আন্ধার, ঠিক তহনই কারেন্ট চইলা আহে"
বউ আরাইলে বউ পাওয়া যায় কিন্তু বন্ধুরে টেখা দিলে ইতা আর ফিরত পাওয়া যায় না,বউ আরাইলে বউ হান যায় কিন্তু বন্দুরে টেয়া দিলে হেই টেয়া আর হান যায়না,"বউ হারাইলে বউ পাওয়ন যায়, কিন্তু বন্ধুরে টেহা দিলে হেইডা আর ফেরত পাওয়ন যায় না",যেত্তে বাবি তুঁই চারা আঁর জিবন নান আঁন্দার টিক এ সময় অত কা আরন আ যাগই,"বউ হারাইলে বউ পাওয়া যায়, তয় দোস্তোরে টাহা দেলে হেইডা আর ফেরত পাওয়া যায় না"
"চুল পরার সমস্যা লইয়া ডাখতরর ধারে গেছলাম, গিয়া দেখি ডাখতর নিজেউ টাখলা",চুল হইড়বার সমস্যা লই ডাক্তারের কাছে গেছিলাম অন যাই দেই হেতে নিজেই টাক,"চুল পরার সমস্যা লয়া ডাক্তারের কাসে গেছিলাম, গিয়া দেহি ডাক্তার নিজেই টাক","বউ আঁযিলে বউ ফা যাই, কিন্তু বন্দুরে টিয়া দিলে আর ফেরত ফা ন যাই","চুল পড়ার সমেস্যা লইয়া ডাক্তারের ধারে গেল্লাম, যাইয়া দেহি ডাক্তার নিজেই টাকলা"
"ভালা মানুষ বুলে বেশিদিন বাছইন না, ইতা হুনার পর খুব টেনশনে আছি",ভালা মানুষ বলে বেশিদিন বাঁচে না এটা হুনবার হরেদি টেনশনে আছি,"ভালো মানুষ নাকিতা বেশি দিন বাঁচে না, এটা হুনার পর খুব টেনশনে আছি","চুল ফরার সমইস্যা লই ডাক্তরর এডে গেইলাম, যাই এরে দেই ডাক্তর নিজেই টাক","ভাল মানু বোলে বেশি দিন বাঁচে না, এইডা হোনার পর বেমালা টেনশনে আছি"
তরে ভুলি যাওয়ার লাগি মুই তরে ভালাপাইছলাম না,তোরে ভুলি যাইবার লাই আই ভালোবাসি নো,তোরে ভুইল্লা যাওয়ার লাইজ্ঞা আমি ভালোবাসি নাই,বালা মানুষ নাকি বেশিদিন ন বাচে ইয়ান ফুনি টেনশন অত আচি,তোরে ভুইল্লা যাওয়ার লইজ্ঞা মুই ভালোবাসি নাই
" নিজোরে কুনোসময় বাওটা ভাববা না, মনো রাখবা আফনার শরীলর রখতো দিয়া হাজার মশার সংসার চলের",নিজেরে কোনসুমে বেকার ভাবিয়েন না মনে রাইকবেন আন্নের শরীরের রক্ত দি হাজারো মশার সংসার চলে,"নিজেরে কহনো বেকার ভাববেন না, মনে রাখবেন আফনের শরীরের রক্ত দিয়ে হাজারডা মশার সংসার চলে",তুরে বুলি যাইবর লাই আঁই বাল ন বাসি,"নিজেরে কহনো বেকার ভাববেন না, মনে রাখবেন আমনের শরীলের রক্ত দিয়া হাজারও মশার সংসার চলে"
বাবু খাইছোনি জিকানির মানুষগুতা নাই করু আমি এখনো এতো হুকনা,বাবু খাইছো বলার মানুষ নাই বলি আইজ আমি এত রোগা,বাবু খাইছো বলার মানুষটা নাই বইল্লা আইজ আমি এতো রোগা,নিযেরে হনিকাই বেকার ন বাইব্বন মন অত রাইবান শরিরর রক্ত দি আযারও মশার সংসার চলে,বাবু খাইছো কওয়ার মানুডা নাই দেইখ্যা আইজও মুই এত হুগনা
"লাগা বাড়ির ফুড়িটারে ভালা লাগছিল, বাদে জানলাম তাই ছুটির দিনও কলেজো যায়",পাশের বাড়ির মাইয়াগারে ভালা লাইগছিলো হরেদি হুইনলাম হেতি ছুডির দিনেও কলেজে যায়,"পাশের বাড়ির ছেড়িটারে ভালা লাগছিল, পরে জানতে পারলাম ছেড়িডা ছুটির দিনেও কলেজে যায়",বাবু হায়্যুনে হঁ দে মানুষ ইবা নাই দেই আঁই আযিয়া এত লেডা,"পাশের বাড়ির মাইয়াডারে ভালো লাগছেলে, পরে জানতে পারছি মাইয়াডা ছুটির দিনেও কলেজে যায়"
আইজ আমি হুকনা গতিকে মানুষ আমারে লইয়া  উলটাপালটা সন্দেহ করইন,আইজ আই রোগা হেটার লাই মানুষ আরে লই উল্ডাহাল্ডা সন্দেহ করে,"আজ আমি রোগা, তাই জন্য মানুষ আমারে নিয়া উল্টোপাল্টা সন্দেহ করে",ফাশর বারির মাইফোয়া ইবেরে গম লাইগ্যিল ফরে জানিলাম ইবা চুটির দিনঅত ও কলেজঅত যাই,"আইজ মুই হুগনা , হেইয়ার লইজ্ঞা মানু মোরে লইয়া উলডা পালডা সন্দেহ করে"
খেউ মোর  আম্মারে কইয়া দিওছাইন মুই বিয়া খরতাম,কেউ আর মারে কই দিও আই বিয়া করুম,কেউ আমার মারে কয়া দিও আমি বিয়া করবাম,আয আঁই লেডা বলি মানুষ আঁরে লই উল্ডা ফাল্ডা সন্দেহ গরে,কেউ মোর মায়রে কইয়া দেও মুই বিয়া করমু
আসতে আসতে সিগারেট খাওয়া ফুয়াটা এখদিন কাশতে কাশতে মরি যাইবো,হাইসতে হাইসতে সিগারেট খাওয়া হোলাগা একদিন কাইশতে কাইশতে মরি যাইব,হাসতে হাসতে সিগারেট খাওয়া ছেড়াডা একদিন কাশতে কাশতে মইরা যাইব,হনিকাই আঁর মারে হইদিও আঁই বিয়া গইরগম,হাসতে হাসতে সিগারেট খাওয়া পোলাডা এক দিন কাশতে কাশতে মইরা যাইবে
কুনো এখ রাইতে তুমি আর মুই কান্দাকান্দিত বইয়া ছান দেখমু,কোন এক রাইতে তুই আর আই বসি বসি চান দেখিয়ুম,কোন এক রাইতে তুমি আর আমি পাশাপাশি বয়া চাঁদ দেখবাম,আইশত আইশত সিগারেট হাদে ফোয়াইবা এদ্দিন হাইশতে হাইশতে মরি যাইবই,কোন এউক্কা রাইতে তুমি আর মুই একলগে বইয়া চান দেখমু
আফনারার কিতা শুক্রবার সখালে সময় অইবো নি?,আন্নেগর কি শুক্কুরবার সকালে সময় অইব,,কুনো এক রাতিয়ার এক হনগে বইয়েরে পাশাপাশি চাঁদ দেক্কুম,আমনেগো কি শুক্কুরবার বেইন্নাকালে সময় হইবে?
যদি মুই ভুল খরি তাইলে মোরে শুধরাইয়া দিবা,যদি আই ভুল করি তইলে আর ভুল ধরি দিয়েন দয়া করি,আফনেরার কি শুক্রবার সকালে সময় হইব?,অনরার কি শুক্কুরবার বেইন্না সময় অইবো নে?,যদি মুই ভুল করি তাইলে মোরে দয়া কইরা শুধরাইয়া দেবেন
মুই কিতা খালি এখটা জিনিস খইতাম ফারি নি দয়া খরি?,আই কি হুদা এককান জিনিস কইতাম হারি দয়া করি,যদি আমি ভুল করি তাইলে আমারে দয়া কইরা শুধরায়া দিবেন,যদি আঁই বুল গরি তইলে দয়া গরি আঁরে শুদরাই দিয়ন,মুই কি খালি এউক্কা জিনিস কইতে পারি দয়া কইরা?
আফনার কুনতা জিকানির আছে নি?,আন্নের কোন প্রশ্ন আছে,আমি কি খালি একটা জিনিস কইতে ফারি দয়া কইরা?,আঁই কি দয়া গরি শুদু এক্কান জিনিস হইত ফারি?,আমনের কোনো প্রোশ্নো আছে?
এখটা মাতও আর মাতবায় না,আই এককান কতা ও আর কইতান্ন,আফনের কুনো প্রশ্ন আসে?,অনর কি হনো ফ্রশ্ন আচে নে,এউক্কা কথাও আর কইয়ো না
আফনারা যেরা মোরে এখনো চিনইন না,আন্নেরা যারা অনো আরে চিনেন না,একটা কথাও আর কইবা না,আর এক্কান হতাও ন হইবা,আমনেরা যারা মোরে এহনো চেনেন না
তাইন মোর লগে দেখা করলা,হেতে আর লগে দেয়া কইচ্ছে,আফনেরা যারা আমারে এহনো চিনেন না,অনরা যারা আঁরে এইযো ন চিনন,হ্যায় মোর লগে দেহা করছে
মুই পাঁচ বত্‌শর চাকরি করছিলাম,আই হাচ বছর চাকরি কইচ্ছিলাম,উনি আমার লগে দেখা করলেন,ইবা আঁর ফোয়ারে দেহা গইরগে,মুই পাঁচ বছর চাকরি করছেলাম
মোর কিন্তুক সোভিয়েত দেশ ভালা লাগতো,আর কিন্ত সোভায়েত দেশ ভালা লাইগদ,আমি পাঁচ বছর চাকরি করসিলাম,আঁই পাঁচ বচর চ অরি গইরগিলাম,মোর কোলো সোভিয়েত দেশ ভালো লাগতো
